model,window,dept_id,MASE,RMSSE,sMAPE,MAE,RMSE,MAPE,ME,MPE
naive,5,CARDIOLOGY,1.6737654121748111,1.6101179622124697,43.83733992181797,17.928571428571427,22.611627855723132,79.81870782232133,-11.571428571428571,-70.83010383334194
mean,5,CARDIOLOGY,1.54206474727261,1.3952104472331972,42.81159938860343,16.517857142857142,19.593582677572194,56.87787558342083,2.5535714285714284,-26.145377599157587
seasonal_naive,5,CARDIOLOGY,1.0269317668323543,1.0846006445999836,26.952685109819917,11.0,15.231546211727817,24.808821325557354,4.857142857142857,8.768730014307579
drift,5,CARDIOLOGY,1.6860881312748333,1.6274889649429143,43.99770990087144,18.060566478757046,22.85557684482815,80.87477803031832,-12.129657637838582,-72.56073739445334
seasonal_mean_4w,5,CARDIOLOGY,0.9835872442063135,0.9929465042158412,26.31968262540617,10.535714285714286,13.944404919946516,25.91141126339392,1.2142857142857142,1.377210885312373
naive,5,ELECTIVE_SURGERY,3.482849228333993,2.7286918898561026,95.8396593042286,30.428571428571427,34.88040792684135,653.005524247104,-28.928571428571427,-650.1731765100952
mean,5,ELECTIVE_SURGERY,1.9202052144531367,1.5263095263566988,87.36715839133248,16.776236263736262,19.51055709142493,273.5243727905336,0.938736263736262,-227.4250050885318
seasonal_naive,5,ELECTIVE_SURGERY,1.3081123862287298,1.1963224822509588,70.384177765612,11.428571428571429,15.292388396098984,85.32592228775529,-7.071428571428571,-57.94082430204634
drift,5,ELECTIVE_SURGERY,3.5454063353510663,2.7750485992181013,96.38902590566347,30.975113433246246,35.47297791933611,659.8274780243119,-29.66822494156469,-657.3777136493036
seasonal_mean_4w,5,ELECTIVE_SURGERY,1.1282469331222795,1.073704015678033,66.03085882395109,9.857142857142858,13.724977231310804,68.24389937506292,-4.071428571428571,-49.438793304516615
naive,5,EMERGENCY,2.1276807046152677,1.7754001212096113,36.47692682035542,62.07142857142857,68.47835945965495,30.37234048852388,60.285714285714285,28.734070501630043
mean,5,EMERGENCY,1.779430017984404,1.5226879536340745,29.4453353369136,51.91181318681317,58.731083651610184,25.351545715809564,48.932829670329646,22.696205765785795
seasonal_naive,5,EMERGENCY,1.8852867002920095,1.7416813072715571,32.56625454297454,55.0,67.1778024562961,26.522950639298276,52.714285714285715,25.075714516825894
drift,5,EMERGENCY,2.1526951644775227,1.7947369171738907,36.99876151570996,62.801182455657916,69.22419249696361,30.731337892298434,61.05327925202805,29.12775697153709
seasonal_mean_4w,5,EMERGENCY,1.4133529191474836,1.2883482762609664,22.94227212535264,41.232142857142854,49.69244696847083,20.02495618070109,39.214285714285715,18.197953703409596
naive,5,ONCOLOGY,2.0758801383801386,1.7740382584243508,77.57582005045526,14.107142857142858,16.975823144359495,389.55064771254297,-13.464285714285714,-387.5543744965117
mean,5,ONCOLOGY,1.3570232616386462,1.11850395950388,67.07368513686473,9.221978021978021,10.702996574418787,230.75002488611779,-2.7681318681318694,-207.72828491099463
seasonal_naive,5,ONCOLOGY,1.0037800162800163,0.9584039158086772,43.446646836644106,6.821428571428571,9.170994649281116,66.96603629102354,-2.3214285714285716,-49.72195209342948
drift,5,ONCOLOGY,2.123406288841804,1.8084717738479206,78.3408070199107,14.430118245565792,17.305318444302046,395.9733169147054,-13.86900178743297,-394.23244070730783
seasonal_mean_4w,5,ONCOLOGY,0.988013838013838,0.9598272384154486,41.3300969247064,6.714285714285714,9.18461446426266,62.77809047442901,-4.178571428571429,-47.67391288603036
naive,5,ORTHOPEDICS,1.2271184523136103,1.217624902767255,45.13581103646854,10.5,13.877010793806733,98.56575929657394,-10.071428571428571,-97.35227390241627
mean,5,ORTHOPEDICS,0.9635063106934926,0.9543580648006902,39.309034135170606,8.244368131868132,10.876614905212037,77.47996511834125,-5.2118131868131865,-68.28996643438563
seasonal_naive,5,ORTHOPEDICS,0.5926898647229001,0.5904705021922464,26.753027587932937,5.071428571428571,6.729466121893644,34.69133119488235,-1.2142857142857142,-22.038270108302697
drift,5,ORTHOPEDICS,1.2616101437999443,1.2432705634836843,45.90575086145216,10.795132682524402,14.169288908164766,100.51350793681499,-10.448233191255326,-99.53500874117907
seasonal_mean_4w,5,ORTHOPEDICS,0.642776332164272,0.6294089208444198,26.90585967105662,5.5,7.1732389576018685,37.81327215539176,-3.6785714285714284,-29.31893036273064
naive,5,PEDIATRICS,1.2778865691755366,1.1034760394602248,32.05603221478821,16.785714285714285,19.586803137389655,29.892101850358564,11.142857142857142,11.17214227190788
mean,5,PEDIATRICS,1.2315814813824986,1.0704975683796678,30.756707757047153,16.17747252747253,19.00143218439376,29.247516677093692,10.078434065934065,9.071021791031857
seasonal_naive,5,PEDIATRICS,1.3703294273712137,1.185102697437836,32.59085329965658,18.0,21.03568396796263,32.55707458966563,2.2857142857142856,-3.6946971489992437
drift,5,PEDIATRICS,1.277221889166996,1.1030225024088445,32.03717834199202,16.776983363123882,19.57875281221427,29.88135532493577,11.128901416196893,11.145163780847742
seasonal_mean_4w,5,PEDIATRICS,1.0658117768442774,0.9865280832341956,26.34974776716568,14.0,17.510965951980733,26.94644999773466,6.178571428571429,1.9256370002708296
naive,6,CARDIOLOGY,1.7405905868155076,1.5569616131823827,42.25166620156106,18.642857142857142,21.904011374305718,62.35799616973169,-1.0714285714285714,-37.58784674160895
mean,6,CARDIOLOGY,1.9559320672096976,1.6811806349571985,48.04389077909824,20.949304440877476,23.65157845805627,54.57947478283606,8.986623863028354,-9.910531204186423
seasonal_naive,6,CARDIOLOGY,0.7936026047166491,0.7539291063507118,19.798005181843692,8.5,10.606601717798213,17.875522403766585,6.357142857142857,11.935246573939565
drift,6,CARDIOLOGY,1.7381155202149878,1.560176994517905,42.154177447545365,18.616347569955817,21.94924675374584,62.901568219796665,-1.560650689516669,-38.93108071799583
seasonal_mean_4w,6,CARDIOLOGY,0.8502885050535526,0.828614566729345,19.529462335810404,9.107142857142858,11.657309172483037,18.064753267910614,6.5,9.969995203394484
naive,6,ELECTIVE_SURGERY,1.5940552946683377,1.3966094469158472,71.72966955175548,14.214285714285714,18.181623375579765,402.15405404773526,-7.071428571428571,-383.69109056949867
mean,6,ELECTIVE_SURGERY,1.6691183693537532,1.2880122616687952,81.56772553052775,14.883627608346709,16.76786154963034,306.69275135618904,0.7712680577849105,-261.32197813111156
